accession	collected_by	collection_date	country	identified_by	lat_lon	scientific_name	sequence_length	specimen_voucher	trace_count
JQ176562		17-Sep-1997	Guyana: Northwest District			Turdus fumigatus	652	KU:O:89052	2
JQ176555		02-Nov-1994	Guyana: Essequibo			Trogon viridis	652	KU:O:86593	2
JQ176554		27-Aug-1998	Guyana			Trogon viridis	652	KU:O:91057	2
JQ176545		27-Aug-1998	Guyana			Trogon melanurus	652	KU:O:90385	2
JQ176527		13-Sep-1998	Guyana			Touit purpuratus	652	KU:O:89691	2
JQ176525		11-Nov-1994	Guyana: Essequibo			Topaza pella	652	KU:O:86612	2
JQ176521		27-Sep-1997	Guyana: Northwest District			Tolmomyias poliocephalus	652	KU:O:88971	2
JQ176516		26-Sep-1997	Guyana: Northwest District			Tolmomyias assimilis	652	KU:O:88970	2
JQ176515		15-Sep-1997	Guyana: Northwest District			Todirostrum pictum	652	KU:O:88967	2
JQ176513		17-Sep-1997	Guyana: Northwest District			Todirostrum pictum	652	KU:O:88968	2
JQ176512		24-Mar-1996	Guyana: East Demerara			Todirostrum maculatum	652	KU:O:88214	2
JQ176511		23-Mar-1996	Guyana: East Demerara			Todirostrum maculatum	652	KU:O:88319	2
JQ176497		27-Sep-1997	Guyana: Northwest District			Tityra cayana	652	KU:O:88990	2
JQ176482		09-Apr-1995	Panama: Chiriqui			Thryothorus modestus	652	KU:O:87012	2
JQ176470		06-Apr-1995	Panama: Chiriqui			Thripadectes rufobrunneus	652	KU:O:86942	2
JQ176469		20-Apr-1995	Panama: Chiriqui			Thripadectes rufobrunneus	652	KU:O:87150	2
JQ176464		31-Mar-1996	Guyana: Berbice			Threnetes niger	601	KU:O:88140	2
JQ176463		18-Sep-1997	Guyana: Northwest District			Threnetes niger	652	KU:O:88960	2
JQ176460		04-Nov-2000	Guyana			Thraupis palmarum	641	KU:O:91562	2
JQ176446		01-Nov-1994	Guyana: Essequibo			Thamnophilus murinus	652	KU:O:86445	2
JQ176445		01-Nov-1994	Guyana: Essequibo			Thamnophilus murinus	652	KU:O:86588	2
JQ176437		05-Apr-2000	Guyana			Thamnophilus amazonicus	652	KU:O:90833	2
JQ176436		06-Nov-1994	Guyana: Essequibo			Thamnophilus amazonicus	652	KU:O:86446	2
JQ176435		06-Nov-1994	Guyana: Essequibo			Thamnophilus amazonicus	652	KU:O:86447	2
JQ176415		14-Nov-1994	Guyana: Essequibo			Terenura spodioptila	652	KU:O:86461	2
JQ176414		05-Nov-1994	Guyana: Essequibo			Terenura spodioptila	652	KU:O:86459	2
JQ176413		05-Nov-1994	Guyana: Essequibo			Terenura spodioptila	652	KU:O:86608	2
JQ176409		23-Sep-1997	Guyana: Northwest District			Terenotriccus erythrurus	626	KU:O:88974	2
JQ176399		05-Apr-1996	Guyana: Berbice			Tangara velia	652	KU:O:88252	2
JQ176397		29-Aug-1998	Guyana			Tangara varia	652	KU:O:89866	2
JQ176395		24-Sep-1997	Guyana: Northwest District			Tangara punctata	652	KU:O:89081	2
JQ176381		19-Apr-1995	Panama: Chiriqui			Tangara icterocephala	652	KU:O:87112	2
JQ176380		08-Apr-1995	Panama: Chiriqui			Tangara icterocephala	652	KU:O:87079	2
JQ176379		16-Apr-1995	Panama: Chiriqui			Tangara icterocephala	645	KU:O:87078	2
JQ176373		09-Apr-1995	Panama: Chiriqui			Tangara dowii	652	KU:O:87080	2
JQ176372		09-Apr-1995	Panama: Chiriqui			Tangara dowii	652	KU:O:87116	2
JQ176353		14-Sep-1998	Guyana			Tachyphonus cristatus	652	KU:O:90348	2
JQ176347		20-Aug-1998	Guyana			Tachycineta albiventer	652	KU:O:89846	2
JQ176345		07-Apr-1995	Panama: Chiriqui			Tachycineta albilinea	652	KU:O:87000	2
JQ176341		17-Aug-1998	Guyana			Tachornis squamata	652	KU:O:89730	2
JQ176339		17-Sep-1998	Guyana			Tachornis squamata	652	KU:O:89729	2
JQ176337		10-Apr-1995	Panama: Chiriqui			Syndactyla subalaris	624	KU:O:86936	2
JQ176336		09-Apr-1995	Panama: Chiriqui			Syndactyla subalaris	652	KU:O:87140	2
JQ176320		12-May-2006	Greece: Lesvos		39.129 N 26.219 E	Sylvia hortensis	652	USNM:Birds:640748	2
JQ176318		20-May-2006	Greece: Lesvos		39.129 N 26.219 E	Sylvia cantillans	652	USNM:Birds:640818	2
JQ176305		06-Nov-2000	Guyana			Sublegatus modestus	652	KU:O:94336	2
JQ176303		24-Mar-1996	Guyana: East Demerara			Sublegatus arenarum	652	KU:O:88200	2
JQ176302		23-Mar-1996	Guyana: East Demerara			Sublegatus arenarum	652	KU:O:88199	2
JQ176261		20-Mar-2000	Guyana			Sporophila plumbea	652	KU:O:91071	2
JQ176260		19-Mar-2000	Guyana			Sporophila plumbea	652	KU:O:90965	2
JQ176256		10-Apr-2000	Guyana			Sporophila minuta	633	KU:O:90925	2
JQ176255		07-Apr-1996	Guyana: Berbice			Sporophila minuta	652	KU:O:88268	2
JQ176252		09-Nov-2000	Guyana			Sporophila intermedia	652	KU:O:91565	2
JQ176232		18-May-2006	Greece: Lesvos		39.222 N 25.942 E	Sitta neumayer	652	USNM:Birds:640800	2
JQ176223		08-Apr-1995	Panama: Chiriqui			Semnornis frantzii	652	KU:O:86917	2
JQ176222		12-Apr-1995	Panama: Chiriqui			Semnornis frantzii	652	KU:O:86919	2
JQ176221		08-Apr-1995	Panama: Chiriqui			Semnornis frantzii	652	KU:O:86918	2
JQ176220		13-Sep-1998	Guyana			Selenidera piperivora	652	KU:O:90357	2
JQ176218		27-Sep-1997	Guyana: Northwest District			Selenidera piperivora	652	KU:O:88947	2
JQ176216		20-Apr-1995	Panama: Chiriqui			Selasphorus scintilla	652	KU:O:86914	2
JQ176206		15-Apr-1995	Panama: Chiriqui			Scytalopus argentifrons	652	KU:O:86970	2
JQ176205		14-Apr-1995	Panama: Chiriqui			Scytalopus argentifrons	652	KU:O:87122	2
JQ176200		05-Sep-1998	Guyana			Sclerurus caudacutus	652	KU:O:89675	2
JQ176188		16-Apr-1995	Panama: Chiriqui			Schiffornis turdina	652	KU:O:87003	2
JQ176186		13-Apr-1995	Panama: Chiriqui			Schiffornis turdina	652	KU:O:87118	2
JQ176170		28-Sep-1997	Guyana: Northwest District			Saltator grossus	652	KU:O:89120	2
JQ176160		27-Aug-1998	Guyana			Rupicola rupicola	652	KU:O:89844	2
JQ176141		02-Apr-1995	Panama: Chiriqui			Rhytipterna holerythra	652	KU:O:86995	2
JQ176139		03-Apr-1995	Panama: Chiriqui			Rhynchocyclus brevirostris	652	KU:O:86992	2
JQ176138		09-Apr-1995	Panama: Chiriqui			Rhynchocyclus brevirostris	652	KU:O:86993	2
JQ176120		02-Jun-2006	Greece: Macedonia		41.481 N 24.325 E	Regulus ignicapilla	636	USNM:Birds:640872	2
JQ176119		24-Aug-1998	Guyana			Ramphotrigon ruficauda	629	KU:O:90391	2
JQ176111		11-Mar-2000	Guyana			Ramphocelus carbo	652	KU:O:90944	2
JQ176107		16-Sep-1997	Guyana: Northwest District			Ramphocaenus melanurus	652	KU:O:89083	2
JQ176103		05-Oct-1997	Guyana: Northwest District			Ramphastos vitellinus	652	KU:O:88919	2
JQ176102		31-Mar-2000	Guyana			Ramphastos vitellinus	652	KU:O:91090	2
JQ176088		25-Oct-2000	Guyana			Quiscalus lugubris	649	KU:O:91490	2
JQ176080		16-Apr-1995	Panama: Chiriqui			Pyrrhura hoffmanni	652	KU:O:86867	2
JQ176079		13-Apr-1995	Panama: Chiriqui			Pyrrhura hoffmanni	651	KU:O:87146	2
JQ176078		13-Apr-1995	Panama: Chiriqui			Pyrrhura hoffmanni	652	KU:O:86866	2
JQ176047		02-Jun-2006	Greece: Macedonia		41.481 N 24.325 E	Ptyonoprogne rupestris	652	USNM:Birds:640876	2
JQ176041		18-Sep-1997	Guyana: Northwest District			Pteroglossus viridis	652	KU:O:88946	2
JQ176019		03-Sep-1998	Guyana			Psophia crepitans	652	KU:O:90752	2
JQ176001		18-Apr-1995	Panama: Chiriqui			Pselliophorus luteoviridis	652	KU:O:87098	2
JQ176000		17-Apr-1995	Panama: Chiriqui			Pselliophorus luteoviridis	652	KU:O:87097	2
JQ175999		17-Apr-1995	Panama: Chiriqui			Pselliophorus luteoviridis	652	KU:O:87096	2
JQ175998		29-Sep-1997	Guyana: Northwest District			Psarocolius viridis	615	KU:O:89059	2
JQ175995		31-Mar-2000	Guyana			Psarocolius decumanus	633	KU:O:90873	2
JQ175976		09-Apr-1995	Panama: Chiriqui			Premnoplex brunnescens	652	KU:O:86931	2
JQ175975		03-Apr-1995	Panama: Chiriqui			Premnoplex brunnescens	652	KU:O:86933	2
JQ175950		17-Aug-1998	Guyana			Polytmus theresiae	652	KU:O:89726	2
JQ175947		02-Apr-2000	Guyana			Polytmus guainumbi	636	KU:O:90930	2
JQ175946		19-Oct-2000	Guyana			Polytmus guainumbi	643	KU:O:91475	2
JQ175944		20-Mar-2000	Guyana			Polystictus pectoralis	652	KU:O:91067	2
JQ175943		05-Apr-1996	Guyana: Berbice			Polystictus pectoralis	652	KU:O:88210	2
JQ175924		15-May-2006	Greece: Lesvos		39.129 N 26.219 E	Poecile lugubris	652	USNM:Birds:640782	2
JQ175899		01-Apr-2000	Guyana			Platyrinchus saturatus	652	KU:O:91093	2
JQ175898		16-Sep-1997	Guyana: Northwest District			Platyrinchus platyrhynchos	652	KU:O:88972	2
JQ175877		20-Apr-1995	Panama: Chiriqui			Piranga bidentata	652	KU:O:87083	2
JQ175876		22-Aug-1998	Guyana			Piprites chloris	648	KU:O:89832	2
JQ175866		13-Jun-1981	Mexico: Oaxaca			Pipilo ocai	652	LSUMZ:Ornithology:101069	2
JQ175865		10-Jun-1981	Mexico: Oaxaca			Pipilo ocai	652	LSUMZ:Ornithology:101061	2
JQ175864		10-Jun-1981	Mexico: Oaxaca			Pipilo ocai	652	LSUMZ:Ornithology:101067	2
JQ175853		16-Sep-1997	Guyana: Northwest District			Pionus fuscus	652	KU:O:88925	2
JQ175852		31-Aug-1998	Guyana			Pionus fuscus	652	KU:O:89686	2
JQ175845		15-Sep-1997	Guyana: Northwest District			Pionites melanocephalus	652	KU:O:88927	2
JQ175826		11-Sep-1998	Guyana			Colaptes rubiginosus	628	KU:O:89710	2
JQ175823		02-Apr-1996	Guyana: Berbice			Piculus flavigula	652	KU:O:88155	2
JQ175822		07-Apr-1996	Guyana: Berbice			Piculus flavigula	652	KU:O:88154	2
JQ175821		14-Sep-1998	Guyana			Piculus flavigula	652	KU:O:89712	2
JQ175820		04-Apr-2000	Guyana			Piculus chrysochloros	652	KU:O:90826	2
JQ175810		26-May-2006	Greece: Macedonia		41.343 N 24.562 E	Phylloscopus orientalis	652	USNM:Birds:640837	2
JQ175803		12-Sep-1998	Guyana			Phylloscartes virescens	652	KU:O:89666	2
JQ175793		19-Nov-2000	Guyana			Phyllomyias griseiceps	615	KU:O:91468	2
JQ175774		24-Mar-1996	Guyana: East Demerara			Philohydor lictor	652	KU:O:88226	2
JQ175764		18-Apr-1995	Panama: Chiriqui			Phainoptila melanoxantha	652	KU:O:87044	2
JQ175756		10-Apr-1995	Panama: Chiriqui			Phaethornis guy	652	KU:O:86875	2
JQ175738		06-Sep-1998	Guyana			Perissocephalus tricolor	652	KU:O:90397	2
JQ175733		20-Sep-1997	Guyana: Northwest District			Periporphyrus erythromelas	652	KU:O:89092	2
JQ175713		12-Sep-1998	Guyana			Penelope marail	652	KU:O:90360	2
JQ175711		08-Sep-1998	Guyana			Penelope marail	652	KU:O:89680	2
JQ175700		04-Apr-2000	Guyana			Patagioenas speciosa	652	KU:O:90820	2
JQ175699		18-Nov-2000	Guyana			Patagioenas speciosa	643	KU:O:92037	2
JQ175698		17-Sep-1998	Guyana			Patagioenas speciosa	621	KU:O:89693	2
JQ175696		28-Mar-1996	Guyana: Berbice			Patagioenas plumbea	652	KU:O:88321	2
JQ175695		11-Sep-1998	Guyana			Patagioenas plumbea	643	KU:O:89694	2
JQ175685		17-May-2006	Greece: Lesvos		39.129 N 26.219 E	Passer hispaniolensis	652	USNM:Birds:640797	2
JQ175684		30-Jun-2010	Greece: Lesvos		41.265 N 24.498 E	Passer domesticus	652	USNM:Birds:642994	2
JQ175683		30-Jun-2010	Greece: Lesvos		41.265 N 24.498 E	Passer domesticus	652	USNM:Birds:642992	2
JQ175682		30-Jun-2010	Greece: Lesvos		41.265 N 24.498 E	Passer domesticus	652	USNM:Birds:642993	2
JQ175663		23-Aug-1998	Guyana			Pachyramphus surinamus	644	KU:O:89835	2
JQ175662		19-Mar-2000	Guyana			Pachyramphus rufus	652	KU:O:90785	2
JQ175659		24-Mar-2000	Guyana			Pachyramphus polychopterus	652	KU:O:90786	2
JQ175656		30-Sep-1997	Guyana: Northwest District			Pachyramphus minor	652	KU:O:88978	2
JQ175644		29-Oct-2000	Guyana			Oryzoborus crassirostris	649	KU:O:91504	2
JQ175624		07-Apr-1996	Guyana: Berbice			Ornithion inerme	652	KU:O:88197	2
JQ175623		19-Nov-2000	Guyana			Ornithion inerme	652	KU:O:91469	2
JQ175607		18-May-2006	Greece: Lesvos		39.222 N 25.942 E	Oenanthe hispanica	652	USNM:Birds:640804	2
JQ175605		10-Apr-1995	Panama: Chiriqui			Odontophorus leucolaemus	652	KU:O:86861	2
JQ175604		19-Apr-1995	Panama: Chiriqui			Odontophorus leucolaemus	652	KU:O:86860	2
JQ175603		19-Apr-1995	Panama: Chiriqui			Odontophorus leucolaemus	652	KU:O:86859	2
JQ175602		10-Sep-1998	Guyana			Odontophorus gujanensis	652	KU:O:90347	2
JQ175601		08-Sep-1998	Guyana			Odontophorus gujanensis	652	KU:O:89683	2
JQ175541		18-Apr-2000	Guyana			Neopelma pallescens	652	KU:O:90896	2
JQ175539		18-Nov-2000	Guyana			Neopelma chrysocephalum	649	KU:O:91579	2
JQ175526		05-Nov-2000	Guyana			Nemosia pileata	652	KU:O:91654	2
JQ175522		01-Nov-1994	Guyana: Essequibo			Nannopsittaca panychlora	652	KU:O:86414	2
JQ175520		02-Nov-1994	Guyana: Essequibo			Nannopsittaca panychlora	652	KU:O:86603	2
JQ175513		13-Apr-1995	Panama: Chiriqui			Myrmotherula schisticolor	652	KU:O:87111	2
JQ175512		04-Apr-1995	Panama: Chiriqui			Myrmotherula schisticolor	652	KU:O:86964	2
JQ175506		30-Aug-1998	Guyana			Epinecrophylla gutturalis	652	KU:O:90345	2
JQ175501		12-Nov-1994	Guyana: Essequibo			Myrmotherula brachyura	652	KU:O:86450	2
JQ175491		04-Apr-2000	Guyana			Myrmothera campanisona	652	KU:O:90848	2
JQ175490		18-Sep-1997	Guyana: Northwest District			Myrmornis torquata	652	KU:O:89046	2
JQ175485		20-Mar-2000	Guyana			Myrmoborus leucophrys	652	KU:O:90746	2
JQ175477		05-Nov-2000	Guyana			Myrmeciza longipes	652	KU:O:94335	2
JQ175473		03-Apr-1995	Panama: Chiriqui			Myrmeciza immaculata	652	KU:O:87113	2
JQ175472		04-Apr-1995	Panama: Chiriqui			Myrmeciza immaculata	652	KU:O:86969	2
JQ175456		15-Sep-1997	Guyana: Northwest District			Myiornis ecaudatus	652	KU:O:88965	2
JQ175446		18-Apr-1995	Panama: Chiriqui			Myioborus torquatus	652	KU:O:87056	2
JQ175445		18-Apr-1995	Panama: Chiriqui			Myioborus torquatus	652	KU:O:87055	2
JQ175442		05-Apr-1995	Panama: Chiriqui			Myioborus miniatus	652	KU:O:87052	2
JQ175441		09-Apr-1995	Panama: Chiriqui			Myioborus miniatus	652	KU:O:87054	2
JQ175440		14-Apr-1995	Panama: Chiriqui			Myioborus miniatus	652	KU:O:87124	2
JQ175434		23-Mar-2000	Guyana			Myiarchus swainsoni	627	KU:O:90787	2
JQ175425		18-Apr-1995	Panama: Chiriqui			Myadestes melanops	652	KU:O:87042	2
JQ175424		14-Apr-1995	Panama: Chiriqui			Myadestes melanops	652	KU:O:87039	2
JQ175423		17-Apr-1995	Panama: Chiriqui			Myadestes melanops	652	KU:O:87040	2
JQ175392		08-Apr-1995	Panama: Chiriqui			Mionectes olivaceus	652	KU:O:86975	2
JQ175391		09-Apr-1995	Panama: Chiriqui			Mionectes olivaceus	652	KU:O:86976	2
JQ175387		10-Nov-2000	Guyana			Mimus gilvus	650	KU:O:91560	2
JQ175379		30-Aug-1998	Guyana			Microrhopias quixensis	624	KU:O:89768	2
JQ175365		08-Apr-1995	Panama: Chiriqui			Micrastur ruficollis	652	KU:O:86857	2
JQ175333		01-Apr-2000	Guyana			Megascops watsonii	652	KU:O:90819	2
JQ175331		16-Apr-1995	Panama: Chiriqui			Megascops clarkii	652	KU:O:86869	2
JQ175328		18-Apr-1995	Panama: Chiriqui			Margarornis rubiginosus	652	KU:O:86930	2
JQ175295		13-Apr-1995	Panama: Chiriqui			Arremon crassirostris	652	KU:O:87104	2
JQ175293		22-May-2006	Greece: Macedonia		41.265 N 24.498 E	Luscinia megarhynchos	652	USNM:Birds:640821	2
JQ175292		24-May-2006	Greece: Macedonia		41.265 N 24.498 E	Luscinia megarhynchos	652	USNM:Birds:640833	2
JQ175276		04-Apr-2000	Guyana			Lophornis ornatus	652	KU:O:91105	2
JQ175271		09-Apr-1996	Guyana: Berbice			Lipaugus vociferans	652	KU:O:88238	2
JQ175240		24-Sep-1997	Guyana: Northwest District			Lepidothrix suavissima	652	KU:O:88989	2
JQ175239		12-Nov-1994	Guyana: Essequibo			Lepidothrix suavissima	652	KU:O:86613	2
JQ175237		20-Sep-1997	Guyana: Northwest District			Lepidothrix suavissima	652	KU:O:89134	2
JQ175236		25-Aug-1998	Guyana			Lepidothrix serena	652	KU:O:90383	2
JQ175217		11-May-2006	Greece: Lesvos		39.129 N 26.219 E	Lanius senator	652	USNM:Birds:640737	2
JQ175216		11-May-2006	Greece: Lesvos		39.129 N 26.219 E	Lanius senator	652	USNM:Birds:640746	2
JQ175200		21-Apr-1995	Panama: Chiriqui			Lampornis hemileucus	652	KU:O:86902	2
JQ175198		06-Apr-1995	Panama: Chiriqui			Lampornis hemileucus	652	KU:O:86900	2
JQ175194		06-Apr-1995	Panama: Chiriqui			Lampornis calolaemus	652	KU:O:86907	2
JQ175193		11-Apr-1995	Panama: Chiriqui			Lampornis calolaemus	652	KU:O:86904	2
JQ175192		10-Apr-1995	Panama: Chiriqui			Lampornis calolaemus	624	KU:O:86905	2
JQ175177		04-Apr-1996	Guyana: Berbice			Jacamerops aureus	652	KU:O:88151	2
JQ175159		05-Nov-2000	Guyana			Inezia subflava	649	KU:O:91582	2
JQ175141		14-Nov-2000	Guyana			Icterus jamacaii	652	KU:O:91508	2
JQ175132		23-Sep-1997	Guyana: Northwest District			Daptrius americanus	652	KU:O:88917	2
JQ175119		23-Aug-1998	Guyana			Hypocnemoides melanopogon	645	KU:O:89774	2
JQ175107		13-Nov-1994	Guyana: Essequibo			Willisornis poecilinotus	652	KU:O:86468	2
JQ175106		04-Nov-1994	Guyana: Essequibo			Willisornis poecilinotus	652	KU:O:86590	2
JQ175102		01-Apr-2000	Guyana			Willisornis poecilinotus	623	KU:O:90950	2
JQ175095		10-Sep-1998	Guyana			Hylophilus sclateri	640	KU:O:89858	2
JQ175090		20-Mar-2000	Guyana			Hylophilus pectoralis	607	KU:O:90798	2
JQ175089		02-Apr-1996	Guyana: Berbice			Hylophilus muscicapinus	652	KU:O:88247	2
JQ175085		04-Apr-2000	Guyana			Hylopezus macularius	652	KU:O:90849	2
JQ175073		26-Sep-1997	Guyana: Northwest District			Hylocharis cyanus	652	KU:O:89112	2
JQ175066		11-Nov-1994	Guyana: Essequibo			Hylexetastes perrotii	652	KU:O:86506	2
JQ175059		29-Aug-1998	Guyana			Hirundinea ferruginea	652	KU:O:89822	2
JQ175056		17-May-2006	Greece: Lesvos		39.129 N 26.219 E	Iduna pallida	652	USNM:Birds:640798	2
JQ175054		14-May-2006	Greece: Lesvos		39.129 N 26.219 E	Hippolais olivetorum	652	USNM:Birds:640769	2
JQ175049		13-Sep-1998	Guyana			Herpsilochmus stictocephalus	652	KU:O:90389	2
JQ175048		15-Sep-1997	Guyana: Northwest District			Herpsilochmus stictocephalus	652	KU:O:89034	2
JQ175047		31-Aug-1998	Guyana			Herpsilochmus stictocephalus	652	KU:O:89767	2
JQ175034		29-Sep-1997	Guyana: Northwest District			Henicorhina leucosticta	598	KU:O:89063	2
JQ175031		03-Apr-1995	Panama: Chiriqui			Henicorhina leucophrys	652	KU:O:87015	2
JQ175017		09-Nov-2000	Guyana			Heliomaster longirostris	652	KU:O:91523	2
JQ175010		10-Apr-1995	Panama: Chiriqui			Heliodoxa jacula	652	KU:O:87117	2
JQ174948		27-Sep-1997	Guyana: Northwest District			Glaucis hirsutus	652	KU:O:88957	2
JQ174935		14-Apr-1995	Panama: Chiriqui			Zentrygon costaricensis	652	KU:O:86863	2
JQ174934		12-Apr-1995	Panama: Chiriqui			Zentrygon chiriquensis	652	KU:O:86862	2
JQ174905		18-Apr-2000	Guyana			Gallinago undulata	630	KU:O:91130	2
JQ174904		01-Apr-2000	Guyana			Gallinago paraguaiae	652	KU:O:90815	2
JQ174866		02-Apr-1996	Guyana: Berbice			Frederickena viridis	652	KU:O:88164	2
JQ174862		23-Sep-1997	Guyana: Northwest District			Forpus modestus sclateri	652	KU:O:88931	2
JQ174850		11-Nov-1994	Guyana: Essequibo			Florisuga mellivora	652	KU:O:86431	2
JQ174835		24-Mar-2000	Guyana			Falco rufigularis	652	KU:O:90729	2
JQ174833		03-Apr-1995	Panama: Chiriqui			Eutoxeres aquila	652	KU:O:87134	2
JQ174832		15-Apr-1995	Panama: Chiriqui			Eutoxeres aquila	652	KU:O:86883	2
JQ174820		05-Apr-1996	Guyana: Berbice			Euphonia plumbea	652	KU:O:88251	2
