accession	collection_date	country	lat_lon	scientific_name	specimen_voucher	sequence_length	trace_count
JQ176641	11-Nov-1994	Guyana: Essequibo		Xiphocolaptes promeropirhynchus	KU:O:86442	644	2
JQ176596	02-Apr-2000	Guyana		Tyrannopsis sulphurea	KU:O:90933	652	2
JQ176217	20-Apr-1995	Panama: Chiriqui		Selasphorus scintilla	KU:O:86913	643	2
JQ175798	13-Apr-1995	Panama: Chiriqui		Phylloscartes superciliaris	KU:O:86987	652	2
JQ175032	11-Apr-1995	Panama: Chiriqui		Henicorhina leucophrys	KU:O:87013	645	2
JQ174941	04-Apr-2000	Guyana		Glaucidium hardyi	KU:O:90816	645	2
JQ174809	12-Apr-2000	Guyana		Euphonia finschi	KU:O:91118	644	2
JQ174807	17-Apr-1995	Panama: Chiriqui		Euphonia elegantissima	KU:O:87070	644	2
JQ174752	15-Apr-1995	Panama: Chiriqui		Electron platyrhynchum	KU:O:86915	644	2
JQ174329	20-Apr-1995	Panama: Chiriqui		Catharus gracilirostris	KU:O:87037	644	2
JQ174256	19-Aug-1998	Guyana		Camptostoma obsoletum	KU:O:89796	652	2
JQ176677	16-Sep-1997	Guyana: Northwest District		Zimmerius gracilipes	KU:O:89084	652	2
JQ176673	18-Apr-1995	Panama: Chiriqui		Zeledonia coronata	KU:O:87067	652	2
JQ176648	14-Apr-1995	Panama: Chiriqui		Xiphorhynchus erythropygius	KU:O:86953	652	2
JQ176622	18-Apr-1995	Panama: Chiriqui		Vireo carmioli	KU:O:87048	652	2
JQ176613	13-Oct-2000	Guyana		Veniliornis sanguineus	KU:O:91471	639	2
JQ176612	13-Apr-1995	Panama: Chiriqui		Veniliornis fumigatus	KU:O:86926	652	2
JQ176611	13-Apr-1995	Panama: Chiriqui		Veniliornis fumigatus	KU:O:86929	652	2
JQ176610	13-Apr-1995	Panama: Chiriqui		Veniliornis fumigatus	KU:O:86927	652	2
JQ176609	20-Sep-1997	Guyana: Northwest District		Veniliornis cassini	KU:O:88953	652	2
JQ176608	07-Sep-1998	Guyana		Veniliornis cassini	KU:O:89718	652	2
JQ176598	20-Aug-1998	Guyana		Tyrannulus elatus	KU:O:89797	652	2
JQ176595	19-Mar-2000	Guyana		Tyrannopsis sulphurea	KU:O:90781	652	2
JQ176583	14-Apr-1995	Panama: Chiriqui		Turdus plebejus	KU:O:87024	652	2
JQ176582	17-Apr-1995	Panama: Chiriqui		Turdus plebejus	KU:O:87149	652	2
JQ176581	17-Apr-1995	Panama: Chiriqui		Turdus plebejus	KU:O:87027	652	2
JQ176578	15-Apr-1995	Panama: Chiriqui		Turdus obsoletus	KU:O:87023	652	2
JQ176577	15-Apr-1995	Panama: Chiriqui		Turdus obsoletus	KU:O:87126	652	2
JQ176572	22-Mar-2000	Guyana		Turdus nudigenis	KU:O:90796	649	2
JQ176568	08-Apr-1996	Guyana: Berbice		Turdus ignobilis	KU:O:88244	652	2
JQ176562	17-Sep-1997	Guyana: Northwest District		Turdus fumigatus	KU:O:89052	652	2
JQ176555	02-Nov-1994	Guyana: Essequibo		Trogon viridis	KU:O:86593	652	2
JQ176554	27-Aug-1998	Guyana		Trogon viridis	KU:O:91057	652	2
JQ176545	27-Aug-1998	Guyana		Trogon melanurus	KU:O:90385	652	2
JQ176527	13-Sep-1998	Guyana		Touit purpuratus	KU:O:89691	652	2
JQ176525	11-Nov-1994	Guyana: Essequibo		Topaza pella	KU:O:86612	652	2
JQ176521	27-Sep-1997	Guyana: Northwest District		Tolmomyias poliocephalus	KU:O:88971	652	2
JQ176516	26-Sep-1997	Guyana: Northwest District		Tolmomyias assimilis	KU:O:88970	652	2
JQ176515	15-Sep-1997	Guyana: Northwest District		Todirostrum pictum	KU:O:88967	652	2
JQ176513	17-Sep-1997	Guyana: Northwest District		Todirostrum pictum	KU:O:88968	652	2
JQ176512	24-Mar-1996	Guyana: East Demerara		Todirostrum maculatum	KU:O:88214	652	2
JQ176511	23-Mar-1996	Guyana: East Demerara		Todirostrum maculatum	KU:O:88319	652	2
JQ176497	27-Sep-1997	Guyana: Northwest District		Tityra cayana	KU:O:88990	652	2
JQ176482	09-Apr-1995	Panama: Chiriqui		Thryothorus modestus	KU:O:87012	652	2
JQ176470	06-Apr-1995	Panama: Chiriqui		Thripadectes rufobrunneus	KU:O:86942	652	2
JQ176469	20-Apr-1995	Panama: Chiriqui		Thripadectes rufobrunneus	KU:O:87150	652	2
JQ176464	31-Mar-1996	Guyana: Berbice		Threnetes niger	KU:O:88140	601	2
JQ176463	18-Sep-1997	Guyana: Northwest District		Threnetes niger	KU:O:88960	652	2
JQ176460	04-Nov-2000	Guyana		Thraupis palmarum	KU:O:91562	641	2
JQ176446	01-Nov-1994	Guyana: Essequibo		Thamnophilus murinus	KU:O:86445	652	2
JQ176445	01-Nov-1994	Guyana: Essequibo		Thamnophilus murinus	KU:O:86588	652	2
JQ176437	05-Apr-2000	Guyana		Thamnophilus amazonicus	KU:O:90833	652	2
JQ176436	06-Nov-1994	Guyana: Essequibo		Thamnophilus amazonicus	KU:O:86446	652	2
JQ176435	06-Nov-1994	Guyana: Essequibo		Thamnophilus amazonicus	KU:O:86447	652	2
JQ176415	14-Nov-1994	Guyana: Essequibo		Terenura spodioptila	KU:O:86461	652	2
JQ176414	05-Nov-1994	Guyana: Essequibo		Terenura spodioptila	KU:O:86459	652	2
JQ176413	05-Nov-1994	Guyana: Essequibo		Terenura spodioptila	KU:O:86608	652	2
JQ176409	23-Sep-1997	Guyana: Northwest District		Terenotriccus erythrurus	KU:O:88974	626	2
JQ176399	05-Apr-1996	Guyana: Berbice		Tangara velia	KU:O:88252	652	2
JQ176397	29-Aug-1998	Guyana		Tangara varia	KU:O:89866	652	2
JQ176395	24-Sep-1997	Guyana: Northwest District		Tangara punctata	KU:O:89081	652	2
JQ176381	19-Apr-1995	Panama: Chiriqui		Tangara icterocephala	KU:O:87112	652	2
JQ176380	08-Apr-1995	Panama: Chiriqui		Tangara icterocephala	KU:O:87079	652	2
JQ176379	16-Apr-1995	Panama: Chiriqui		Tangara icterocephala	KU:O:87078	645	2
JQ176373	09-Apr-1995	Panama: Chiriqui		Tangara dowii	KU:O:87080	652	2
JQ176372	09-Apr-1995	Panama: Chiriqui		Tangara dowii	KU:O:87116	652	2
JQ176353	14-Sep-1998	Guyana		Tachyphonus cristatus	KU:O:90348	652	2
JQ176347	20-Aug-1998	Guyana		Tachycineta albiventer	KU:O:89846	652	2
JQ176345	07-Apr-1995	Panama: Chiriqui		Tachycineta albilinea	KU:O:87000	652	2
JQ176341	17-Aug-1998	Guyana		Tachornis squamata	KU:O:89730	652	2
JQ176339	17-Sep-1998	Guyana		Tachornis squamata	KU:O:89729	652	2
JQ176337	10-Apr-1995	Panama: Chiriqui		Syndactyla subalaris	KU:O:86936	624	2
JQ176336	09-Apr-1995	Panama: Chiriqui		Syndactyla subalaris	KU:O:87140	652	2
JQ176320	12-May-2006	Greece: Lesvos	39.129 N 26.219 E	Sylvia hortensis	USNM:Birds:640748	652	2
JQ176318	20-May-2006	Greece: Lesvos	39.129 N 26.219 E	Sylvia cantillans	USNM:Birds:640818	652	2
JQ176305	06-Nov-2000	Guyana		Sublegatus modestus	KU:O:94336	652	2
JQ176303	24-Mar-1996	Guyana: East Demerara		Sublegatus arenarum	KU:O:88200	652	2
JQ176302	23-Mar-1996	Guyana: East Demerara		Sublegatus arenarum	KU:O:88199	652	2
JQ176261	20-Mar-2000	Guyana		Sporophila plumbea	KU:O:91071	652	2
JQ176260	19-Mar-2000	Guyana		Sporophila plumbea	KU:O:90965	652	2
JQ176256	10-Apr-2000	Guyana		Sporophila minuta	KU:O:90925	633	2
JQ176255	07-Apr-1996	Guyana: Berbice		Sporophila minuta	KU:O:88268	652	2
JQ176252	09-Nov-2000	Guyana		Sporophila intermedia	KU:O:91565	652	2
JQ176232	18-May-2006	Greece: Lesvos	39.222 N 25.942 E	Sitta neumayer	USNM:Birds:640800	652	2
JQ176223	08-Apr-1995	Panama: Chiriqui		Semnornis frantzii	KU:O:86917	652	2
JQ176222	12-Apr-1995	Panama: Chiriqui		Semnornis frantzii	KU:O:86919	652	2
JQ176221	08-Apr-1995	Panama: Chiriqui		Semnornis frantzii	KU:O:86918	652	2
JQ176220	13-Sep-1998	Guyana		Selenidera piperivora	KU:O:90357	652	2
JQ176218	27-Sep-1997	Guyana: Northwest District		Selenidera piperivora	KU:O:88947	652	2
JQ176216	20-Apr-1995	Panama: Chiriqui		Selasphorus scintilla	KU:O:86914	652	2
JQ176206	15-Apr-1995	Panama: Chiriqui		Scytalopus argentifrons	KU:O:86970	652	2
JQ176205	14-Apr-1995	Panama: Chiriqui		Scytalopus argentifrons	KU:O:87122	652	2
JQ176200	05-Sep-1998	Guyana		Sclerurus caudacutus	KU:O:89675	652	2
JQ176188	16-Apr-1995	Panama: Chiriqui		Schiffornis turdina	KU:O:87003	652	2
JQ176186	13-Apr-1995	Panama: Chiriqui		Schiffornis turdina	KU:O:87118	652	2
JQ176170	28-Sep-1997	Guyana: Northwest District		Saltator grossus	KU:O:89120	652	2
JQ176160	27-Aug-1998	Guyana		Rupicola rupicola	KU:O:89844	652	2
JQ176141	02-Apr-1995	Panama: Chiriqui		Rhytipterna holerythra	KU:O:86995	652	2
JQ176139	03-Apr-1995	Panama: Chiriqui		Rhynchocyclus brevirostris	KU:O:86992	652	2
JQ176138	09-Apr-1995	Panama: Chiriqui		Rhynchocyclus brevirostris	KU:O:86993	652	2
JQ176120	02-Jun-2006	Greece: Macedonia	41.481 N 24.325 E	Regulus ignicapilla	USNM:Birds:640872	636	2
JQ176119	24-Aug-1998	Guyana		Ramphotrigon ruficauda	KU:O:90391	629	2
JQ176111	11-Mar-2000	Guyana		Ramphocelus carbo	KU:O:90944	652	2
JQ176107	16-Sep-1997	Guyana: Northwest District		Ramphocaenus melanurus	KU:O:89083	652	2
JQ176103	05-Oct-1997	Guyana: Northwest District		Ramphastos vitellinus	KU:O:88919	652	2
JQ176102	31-Mar-2000	Guyana		Ramphastos vitellinus	KU:O:91090	652	2
JQ176088	25-Oct-2000	Guyana		Quiscalus lugubris	KU:O:91490	649	2
JQ176080	16-Apr-1995	Panama: Chiriqui		Pyrrhura hoffmanni	KU:O:86867	652	2
JQ176079	13-Apr-1995	Panama: Chiriqui		Pyrrhura hoffmanni	KU:O:87146	651	2
JQ176078	13-Apr-1995	Panama: Chiriqui		Pyrrhura hoffmanni	KU:O:86866	652	2
JQ176047	02-Jun-2006	Greece: Macedonia	41.481 N 24.325 E	Ptyonoprogne rupestris	USNM:Birds:640876	652	2
JQ176041	18-Sep-1997	Guyana: Northwest District		Pteroglossus viridis	KU:O:88946	652	2
JQ176019	03-Sep-1998	Guyana		Psophia crepitans	KU:O:90752	652	2
JQ176001	18-Apr-1995	Panama: Chiriqui		Pselliophorus luteoviridis	KU:O:87098	652	2
JQ176000	17-Apr-1995	Panama: Chiriqui		Pselliophorus luteoviridis	KU:O:87097	652	2
JQ175999	17-Apr-1995	Panama: Chiriqui		Pselliophorus luteoviridis	KU:O:87096	652	2
JQ175998	29-Sep-1997	Guyana: Northwest District		Psarocolius viridis	KU:O:89059	615	2
JQ175995	31-Mar-2000	Guyana		Psarocolius decumanus	KU:O:90873	633	2
JQ175976	09-Apr-1995	Panama: Chiriqui		Premnoplex brunnescens	KU:O:86931	652	2
JQ175975	03-Apr-1995	Panama: Chiriqui		Premnoplex brunnescens	KU:O:86933	652	2
JQ175950	17-Aug-1998	Guyana		Polytmus theresiae	KU:O:89726	652	2
JQ175947	02-Apr-2000	Guyana		Polytmus guainumbi	KU:O:90930	636	2
JQ175946	19-Oct-2000	Guyana		Polytmus guainumbi	KU:O:91475	643	2
JQ175944	20-Mar-2000	Guyana		Polystictus pectoralis	KU:O:91067	652	2
JQ175943	05-Apr-1996	Guyana: Berbice		Polystictus pectoralis	KU:O:88210	652	2
JQ175924	15-May-2006	Greece: Lesvos	39.129 N 26.219 E	Poecile lugubris	USNM:Birds:640782	652	2
JQ175899	01-Apr-2000	Guyana		Platyrinchus saturatus	KU:O:91093	652	2
JQ175898	16-Sep-1997	Guyana: Northwest District		Platyrinchus platyrhynchos	KU:O:88972	652	2
JQ175877	20-Apr-1995	Panama: Chiriqui		Piranga bidentata	KU:O:87083	652	2
JQ175876	22-Aug-1998	Guyana		Piprites chloris	KU:O:89832	648	2
JQ175866	13-Jun-1981	Mexico: Oaxaca		Pipilo ocai	LSUMZ:Ornithology:101069	652	2
JQ175865	10-Jun-1981	Mexico: Oaxaca		Pipilo ocai	LSUMZ:Ornithology:101061	652	2
JQ175864	10-Jun-1981	Mexico: Oaxaca		Pipilo ocai	LSUMZ:Ornithology:101067	652	2
JQ175853	16-Sep-1997	Guyana: Northwest District		Pionus fuscus	KU:O:88925	652	2
JQ175852	31-Aug-1998	Guyana		Pionus fuscus	KU:O:89686	652	2
JQ175845	15-Sep-1997	Guyana: Northwest District		Pionites melanocephalus	KU:O:88927	652	2
JQ175826	11-Sep-1998	Guyana		Colaptes rubiginosus	KU:O:89710	628	2
JQ175823	02-Apr-1996	Guyana: Berbice		Piculus flavigula	KU:O:88155	652	2
JQ175822	07-Apr-1996	Guyana: Berbice		Piculus flavigula	KU:O:88154	652	2
JQ175821	14-Sep-1998	Guyana		Piculus flavigula	KU:O:89712	652	2
JQ175820	04-Apr-2000	Guyana		Piculus chrysochloros	KU:O:90826	652	2
JQ175810	26-May-2006	Greece: Macedonia	41.343 N 24.562 E	Phylloscopus orientalis	USNM:Birds:640837	652	2
JQ175803	12-Sep-1998	Guyana		Phylloscartes virescens	KU:O:89666	652	2
JQ175793	19-Nov-2000	Guyana		Phyllomyias griseiceps	KU:O:91468	615	2
JQ175774	24-Mar-1996	Guyana: East Demerara		Philohydor lictor	KU:O:88226	652	2
JQ175764	18-Apr-1995	Panama: Chiriqui		Phainoptila melanoxantha	KU:O:87044	652	2
JQ175756	10-Apr-1995	Panama: Chiriqui		Phaethornis guy	KU:O:86875	652	2
JQ175738	06-Sep-1998	Guyana		Perissocephalus tricolor	KU:O:90397	652	2
JQ175733	20-Sep-1997	Guyana: Northwest District		Periporphyrus erythromelas	KU:O:89092	652	2
JQ175713	12-Sep-1998	Guyana		Penelope marail	KU:O:90360	652	2
JQ175711	08-Sep-1998	Guyana		Penelope marail	KU:O:89680	652	2
JQ175700	04-Apr-2000	Guyana		Patagioenas speciosa	KU:O:90820	652	2
JQ175699	18-Nov-2000	Guyana		Patagioenas speciosa	KU:O:92037	643	2
JQ175698	17-Sep-1998	Guyana		Patagioenas speciosa	KU:O:89693	621	2
JQ175696	28-Mar-1996	Guyana: Berbice		Patagioenas plumbea	KU:O:88321	652	2
JQ175695	11-Sep-1998	Guyana		Patagioenas plumbea	KU:O:89694	643	2
JQ175685	17-May-2006	Greece: Lesvos	39.129 N 26.219 E	Passer hispaniolensis	USNM:Birds:640797	652	2
JQ175684	30-Jun-2010	Greece: Lesvos	41.265 N 24.498 E	Passer domesticus	USNM:Birds:642994	652	2
JQ175683	30-Jun-2010	Greece: Lesvos	41.265 N 24.498 E	Passer domesticus	USNM:Birds:642992	652	2
JQ175682	30-Jun-2010	Greece: Lesvos	41.265 N 24.498 E	Passer domesticus	USNM:Birds:642993	652	2
JQ175663	23-Aug-1998	Guyana		Pachyramphus surinamus	KU:O:89835	644	2
JQ175662	19-Mar-2000	Guyana		Pachyramphus rufus	KU:O:90785	652	2
JQ175659	24-Mar-2000	Guyana		Pachyramphus polychopterus	KU:O:90786	652	2
JQ175656	30-Sep-1997	Guyana: Northwest District		Pachyramphus minor	KU:O:88978	652	2
JQ175644	29-Oct-2000	Guyana		Oryzoborus crassirostris	KU:O:91504	649	2
JQ175624	07-Apr-1996	Guyana: Berbice		Ornithion inerme	KU:O:88197	652	2
JQ175623	19-Nov-2000	Guyana		Ornithion inerme	KU:O:91469	652	2
JQ175607	18-May-2006	Greece: Lesvos	39.222 N 25.942 E	Oenanthe hispanica	USNM:Birds:640804	652	2
JQ175605	10-Apr-1995	Panama: Chiriqui		Odontophorus leucolaemus	KU:O:86861	652	2
JQ175604	19-Apr-1995	Panama: Chiriqui		Odontophorus leucolaemus	KU:O:86860	652	2
JQ175603	19-Apr-1995	Panama: Chiriqui		Odontophorus leucolaemus	KU:O:86859	652	2
JQ175602	10-Sep-1998	Guyana		Odontophorus gujanensis	KU:O:90347	652	2
JQ175601	08-Sep-1998	Guyana		Odontophorus gujanensis	KU:O:89683	652	2
JQ175541	18-Apr-2000	Guyana		Neopelma pallescens	KU:O:90896	652	2
JQ175539	18-Nov-2000	Guyana		Neopelma chrysocephalum	KU:O:91579	649	2
JQ175526	05-Nov-2000	Guyana		Nemosia pileata	KU:O:91654	652	2
JQ175522	01-Nov-1994	Guyana: Essequibo		Nannopsittaca panychlora	KU:O:86414	652	2
JQ175520	02-Nov-1994	Guyana: Essequibo		Nannopsittaca panychlora	KU:O:86603	652	2
JQ175513	13-Apr-1995	Panama: Chiriqui		Myrmotherula schisticolor	KU:O:87111	652	2
JQ175512	04-Apr-1995	Panama: Chiriqui		Myrmotherula schisticolor	KU:O:86964	652	2
JQ175506	30-Aug-1998	Guyana		Epinecrophylla gutturalis	KU:O:90345	652	2
JQ175501	12-Nov-1994	Guyana: Essequibo		Myrmotherula brachyura	KU:O:86450	652	2
JQ175491	04-Apr-2000	Guyana		Myrmothera campanisona	KU:O:90848	652	2
JQ175490	18-Sep-1997	Guyana: Northwest District		Myrmornis torquata	KU:O:89046	652	2
JQ175485	20-Mar-2000	Guyana		Myrmoborus leucophrys	KU:O:90746	652	2
JQ175477	05-Nov-2000	Guyana		Myrmeciza longipes	KU:O:94335	652	2
JQ175473	03-Apr-1995	Panama: Chiriqui		Myrmeciza immaculata	KU:O:87113	652	2
JQ175472	04-Apr-1995	Panama: Chiriqui		Myrmeciza immaculata	KU:O:86969	652	2
JQ175456	15-Sep-1997	Guyana: Northwest District		Myiornis ecaudatus	KU:O:88965	652	2
JQ175446	18-Apr-1995	Panama: Chiriqui		Myioborus torquatus	KU:O:87056	652	2
JQ175445	18-Apr-1995	Panama: Chiriqui		Myioborus torquatus	KU:O:87055	652	2
JQ175442	05-Apr-1995	Panama: Chiriqui		Myioborus miniatus	KU:O:87052	652	2
JQ175441	09-Apr-1995	Panama: Chiriqui		Myioborus miniatus	KU:O:87054	652	2
JQ175440	14-Apr-1995	Panama: Chiriqui		Myioborus miniatus	KU:O:87124	652	2
JQ175434	23-Mar-2000	Guyana		Myiarchus swainsoni	KU:O:90787	627	2
JQ175425	18-Apr-1995	Panama: Chiriqui		Myadestes melanops	KU:O:87042	652	2
JQ175424	14-Apr-1995	Panama: Chiriqui		Myadestes melanops	KU:O:87039	652	2
JQ175423	17-Apr-1995	Panama: Chiriqui		Myadestes melanops	KU:O:87040	652	2
JQ175392	08-Apr-1995	Panama: Chiriqui		Mionectes olivaceus	KU:O:86975	652	2
JQ175391	09-Apr-1995	Panama: Chiriqui		Mionectes olivaceus	KU:O:86976	652	2
JQ175387	10-Nov-2000	Guyana		Mimus gilvus	KU:O:91560	650	2
JQ175379	30-Aug-1998	Guyana		Microrhopias quixensis	KU:O:89768	624	2
JQ175365	08-Apr-1995	Panama: Chiriqui		Micrastur ruficollis	KU:O:86857	652	2
JQ175333	01-Apr-2000	Guyana		Megascops watsonii	KU:O:90819	652	2
JQ175331	16-Apr-1995	Panama: Chiriqui		Megascops clarkii	KU:O:86869	652	2
JQ175328	18-Apr-1995	Panama: Chiriqui		Margarornis rubiginosus	KU:O:86930	652	2
JQ175295	13-Apr-1995	Panama: Chiriqui		Arremon crassirostris	KU:O:87104	652	2
JQ175293	22-May-2006	Greece: Macedonia	41.265 N 24.498 E	Luscinia megarhynchos	USNM:Birds:640821	652	2
JQ175292	24-May-2006	Greece: Macedonia	41.265 N 24.498 E	Luscinia megarhynchos	USNM:Birds:640833	652	2
JQ175276	04-Apr-2000	Guyana		Lophornis ornatus	KU:O:91105	652	2
JQ175271	09-Apr-1996	Guyana: Berbice		Lipaugus vociferans	KU:O:88238	652	2
JQ175240	24-Sep-1997	Guyana: Northwest District		Lepidothrix suavissima	KU:O:88989	652	2
JQ175239	12-Nov-1994	Guyana: Essequibo		Lepidothrix suavissima	KU:O:86613	652	2
JQ175237	20-Sep-1997	Guyana: Northwest District		Lepidothrix suavissima	KU:O:89134	652	2
JQ175236	25-Aug-1998	Guyana		Lepidothrix serena	KU:O:90383	652	2
JQ175217	11-May-2006	Greece: Lesvos	39.129 N 26.219 E	Lanius senator	USNM:Birds:640737	652	2
JQ175216	11-May-2006	Greece: Lesvos	39.129 N 26.219 E	Lanius senator	USNM:Birds:640746	652	2
JQ175200	21-Apr-1995	Panama: Chiriqui		Lampornis hemileucus	KU:O:86902	652	2
JQ175198	06-Apr-1995	Panama: Chiriqui		Lampornis hemileucus	KU:O:86900	652	2
JQ175194	06-Apr-1995	Panama: Chiriqui		Lampornis calolaemus	KU:O:86907	652	2
JQ175193	11-Apr-1995	Panama: Chiriqui		Lampornis calolaemus	KU:O:86904	652	2
JQ175192	10-Apr-1995	Panama: Chiriqui		Lampornis calolaemus	KU:O:86905	624	2
JQ175177	04-Apr-1996	Guyana: Berbice		Jacamerops aureus	KU:O:88151	652	2
JQ175159	05-Nov-2000	Guyana		Inezia subflava	KU:O:91582	649	2
JQ175141	14-Nov-2000	Guyana		Icterus jamacaii	KU:O:91508	652	2
JQ175132	23-Sep-1997	Guyana: Northwest District		Daptrius americanus	KU:O:88917	652	2
JQ175119	23-Aug-1998	Guyana		Hypocnemoides melanopogon	KU:O:89774	645	2
JQ175107	13-Nov-1994	Guyana: Essequibo		Willisornis poecilinotus	KU:O:86468	652	2
JQ175106	04-Nov-1994	Guyana: Essequibo		Willisornis poecilinotus	KU:O:86590	652	2
JQ175102	01-Apr-2000	Guyana		Willisornis poecilinotus	KU:O:90950	623	2
JQ175095	10-Sep-1998	Guyana		Hylophilus sclateri	KU:O:89858	640	2
JQ175090	20-Mar-2000	Guyana		Hylophilus pectoralis	KU:O:90798	607	2
JQ175089	02-Apr-1996	Guyana: Berbice		Hylophilus muscicapinus	KU:O:88247	652	2
JQ175085	04-Apr-2000	Guyana		Hylopezus macularius	KU:O:90849	652	2
JQ175073	26-Sep-1997	Guyana: Northwest District		Hylocharis cyanus	KU:O:89112	652	2
JQ175066	11-Nov-1994	Guyana: Essequibo		Hylexetastes perrotii	KU:O:86506	652	2
